onset	duration	trial_type	response_time
10.0	10.0	Look	2.419
38.576	10.0	Look	2.071
65.784	10.0	Reappraise	2.372
91.672	10.0	Reappraise	1.655
117.553	10.0	Suppress	0.987
143.408	10.0	Suppress	1.963
170.504	10.0	Look	2.392
198.664	10.0	Reappraise	1.043
226.751	10.0	Look	1.448
252.43	10.0	Look	1.489
281.93	10.0	Suppress	2.456
310.132	10.0	Suppress	1.553
337.859	10.0	Look	2.203
363.491	10.0	Reappraise	2.4
390.872	10.0	Reappraise	0.895
419.564	10.0	Reappraise	2.021
448.459	10.0	Look	1.056
478.165	10.0	Look	1.011
503.759	10.0	Suppress	1.303
533.714	10.0	Suppress	1.497
563.335	10.0	Suppress	2.297
589.931	10.0	Suppress	1.649
616.1	10.0	Reappraise	1.238
645.389	10.0	Look	1.415
673.781	10.0	Look	1.652
698.837	10.0	Suppress	2.215
725.524	10.0	Look	1.441
752.208	10.0	Reappraise	2.181
779.137	10.0	Reappraise	2.183
806.809	10.0	Reappraise	1.108
831.997	10.0	Reappraise	1.434
861.283	10.0	Suppress	2.11
887.434	10.0	Reappraise	2.251
913.564	10.0	Reappraise	2.024
939.093	10.0	Suppress	1.969
965.663	10.0	Suppress	2.099
994.22	10.0	Look	2.01
1021.138	10.0	Look	1.545
1050.934	10.0	Suppress	2.3
1078.039	10.0	Reappraise	2.343
1103.387	10.0	Look	1.298
1131.812	10.0	Reappraise	1.345
1159.197	10.0	Suppress	1.016
1188.677	10.0	Look	1.533
1215.131	10.0	Suppress	2.446
1244.263	10.0	Look	1.071
1271.158	10.0	Reappraise	1.953
1300.471	10.0	Look	1.852
1329.046	10.0	Look	1.131
1355.73	10.0	Look	1.136
1380.751	10.0	Suppress	1.404
1407.228	10.0	Reappraise	2.246
1436.685	10.0	Suppress	1.935
1465.632	10.0	Reappraise	1.244
1492.716	10.0	Suppress	2.08
1521.247	10.0	Suppress	1.494
1550.556	10.0	Suppress	1.916
1575.574	10.0	Reappraise	1.653
1601.587	10.0	Reappraise	1.688
1631.336	10.0	Look	2.463
